epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
72,77449.7,0.5101,0.52737,0.2384,0.77373,0.74515,0.78484,0.44707,0.29652,0.35476,0.20154,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,78514.8,0.49087,0.52622,0.23921,0.7766,0.74142,0.78383,0.44673,0.29683,0.35405,0.20103,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,79581.2,0.49339,0.52,0.23775,0.77176,0.74344,0.78408,0.44682,0.29643,0.35409,0.20112,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,80640.5,0.51211,0.52291,0.23962,0.774,0.74364,0.78445,0.44668,0.29623,0.35484,0.20052,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,81692.1,0.47484,0.51916,0.22923,0.77631,0.74394,0.78566,0.44684,0.29577,0.35532,0.20098,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,82737.7,0.49495,0.52665,0.23129,0.77586,0.74365,0.78537,0.44631,0.2958,0.35535,0.2019,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,83795.2,0.49417,0.51709,0.22762,0.77632,0.74566,0.7859,0.44657,0.29599,0.3555,0.20211,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,84863.4,0.4908,0.51666,0.23301,0.77425,0.74533,0.78337,0.44611,0.29565,0.35687,0.20236,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,85918.9,0.47845,0.51139,0.22884,0.77499,0.74687,0.78443,0.44514,0.29578,0.35719,0.20275,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,86992.9,0.46204,0.50335,0.22122,0.77493,0.74368,0.78425,0.44527,0.29584,0.35733,0.20298,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,88065,0.47473,0.51416,0.22816,0.77037,0.74472,0.78307,0.44501,0.29582,0.35671,0.20343,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
